factor,coverage,n_triggered,precision_lift,mean_outperform,effect_d,auc_upset,roi_tansho,roi_fukusho,chi2_p,category,description,expected_dir
F063_surface_pr_high,0.2673590043882547,37896,1.024916465676366,-1.0027443529660123,-0.364144978682881,0.5037283202371933,28.257599746675112,27.24166138906481,0.05142631309167484,E_適性,馬場別連対率30%以上,1
F081_dist_apt_unpop,0.3097176560229149,43900,1.1321553177429333,0.9624145785876993,0.3225138061422704,0.5229077566489566,25.174031890660594,25.7129840546697,1.2609091313145395e-30,E_適性,距離適性マッチ×人気薄,1
F094_td_pr_high,0.1458424461345261,20672,1.0063653077659973,-0.828608746130031,-0.2592725583907036,0.5005195595125116,24.495452786377708,26.57797987616099,0.7414807212557484,E_適性,トラック距離連対率30%以上,1
F111_oikomi_hpace,0.3108253023098305,44057,0.9722830215628671,0.6842272510611254,0.22132177593786645,0.4951783664257887,26.787570647116237,25.560069909435505,0.015881494926664342,F_脚質展開,追込馬×Hペース予想,1
F111_sashi_space_bad,0.04557576441703941,6460,0.9626260761750857,0.4611455108359133,0.10148722440863404,0.4990466889840127,15.868421052631579,17.280185758513934,0.29761157490359463,F_脚質展開,差追込×Sペース=展開不利,-1
F112_nige_hpace_bad,0.06103342693062042,8651,1.0137290927238527,-1.2896774939313373,-0.35700301776376686,0.5004689662052991,39.245173968327364,31.82753438908797,0.6619178810481428,F_脚質展開,逃げ馬×Hペース=展開不利,-1
F112_nige_space,0.007294944335482779,1034,0.8163917027522672,-1.1054158607350097,-0.2908641235118293,0.499250371241593,8.820116054158607,11.179883945841393,0.045877975241094285,F_脚質展開,逃げ馬×Sペース予想,1
F114_pace_press_sashi,0.466728280961183,66155,0.9598483141061592,0.6933565112236415,0.29179287120818614,0.48951182665913673,24.92887914745673,26.329226815811353,1.078137664994772e-06,F_脚質展開,ペースプレッシャー高×差し追込,1
F116_hpace_good_hpred,0.14952519366172343,21194,1.3170328528210462,0.35651599509295084,0.08362965148247928,0.5265308152992547,27.518165518542986,27.18693969991507,7.0046618341385e-67,F_脚質展開,Hペース成績良×Hペース予想×人気薄,1
F119_mid_back_3f_top,0.00098771006476556,140,0.8039514482341374,-1.707142857142857,-0.4371977977318507,0.4998916260078686,19.642857142857142,31.285714285714285,0.5062090027998718,F_脚質展開,道中後方×後3F予想上位,1
F126_agari_rank_unpop,0.11609826304130039,16456,1.5554493311068636,0.41583616917841515,0.09699263839238073,0.5360912666536151,27.07158483228002,26.705760816723384,6.112729661616001e-151,F_脚質展開,上がり指数上位3×人気薄,1
F138_top_jockey_unpop,0.3020135175177435,42808,1.0300111469445261,0.8813773126518408,0.2894176286678414,0.5050727204390795,24.54821528686227,27.191880022425714,0.010523073506144565,G_騎手調教師,リーディング上位騎手×人気薄,1
F141_jt_combo_unpop,0.1215165582537286,17224,1.460499350629712,-0.18996748722712495,-0.07217107835147092,0.5313181742685231,25.346609382257316,25.480143985137016,8.622385705841354e-110,G_騎手調教師,騎手×調教師コンボ上位×人気薄,1
F143_jexp_wr_unpop,0.007414880557632882,1051,2.239997929824579,-0.9448144624167459,-0.25105293825650316,0.5051458494205388,19.17221693625119,22.055185537583256,7.404098220352033e-44,G_騎手調教師,騎手期待単勝率高×人気薄,1
F145_jidx_top_unpop,0.017983378250624373,2549,1.7993499459300724,-1.4778344448803453,-0.3877754930211012,0.5080452618343827,30.57669674382111,28.603373872106708,9.339301058987718e-45,G_騎手調教師,騎手指数上位3×人気薄,1
F156_jtd_pr_top,0.07517884607244148,10656,0.8282701747870157,-1.2500938438438438,-0.3521225768217316,0.4927744096285652,20.42511261261261,23.271396396396398,2.1290316364528794e-10,G_騎手調教師,騎手TD成績レース内1位,1
F163_stable_idx_unpop,0.06063128783282302,8594,1.960142271196877,-0.8401210146613917,-0.23817227193559265,0.5325809945457868,28.10100069816151,26.769839422853153,1.227469710320129e-220,G_騎手調教師,厩舎指数上位3×人気薄,1
F165_stable_mark_unpop,0.15854157553865475,22472,1.7822259395186877,-0.2430135279458882,-0.09088859364367005,0.5694076495019503,24.844250622997507,25.296368814524744,0.0,A_JRDB指数乖離,厩舎印○以上×人気薄,1
F201_weight_gain,0.08223391796362405,11656,0.9728667791131185,-0.05207618393960192,-0.0320918414999347,0.4987512247387764,26.892587508579275,25.9977693891558,0.29802693540515846,I_ローテクラス,馬体重大幅増(+10kg),-1
F216_workout_overval,0.23450353459101747,33239,1.0909139912007095,-0.4022985047684948,-0.15136676401037552,0.5119319677545621,27.160865248653685,26.30795150275279,6.389365409822585e-11,H_調教,追切上位3=好調教は織り込み済み,-1
F217_fitness_top3,0.23785469373932921,33714,1.1005825228144457,-0.4525716319629827,-0.16838357123585085,0.5133895568750146,28.179984576140477,26.95467758201341,2.9220238815820804e-13,H_調教,仕上指数レース内上位3,1
F219_fitness_improved,1.0,141742,,,,,,,,H_調教,仕上指数変化プラス,1
F221_training_mark,0.3605353388551029,51103,1.435831727320301,-1.3473572980059878,-0.5641238967291823,0.5879424652975177,24.593859460305655,25.253507621861733,0.0,H_調教,調教印○以上,1
F225_chk_top_unpop,0.1640233663981036,23249,1.4011257586720658,0.24891393178201213,0.05337908903147341,0.5368229201743934,29.16297475160222,27.418813712417737,4.936857724163054e-118,H_調教,CHK追切上位3×人気薄,1
F236_odds_up_overval,0.4330544228245686,61382,0.7741065854615083,1.4529340849108858,0.6298917768010909,0.4452507716528402,20.618096510377633,23.811377928382914,2.633592689188419e-145,B_オッズ乖離,当日オッズ大幅上昇=正当な売り,-1
F237_pop_rank_drop,0.17854270435015732,25307,1.0321935619475844,1.0007507804164855,0.28114863882505875,0.5032169409784708,25.336863318449442,26.395068558106455,0.0522816526590877,B_オッズ乖離,当日人気順位悪化(売られた→穴候補),1
F240_idm_mark_unpop,0.17371703517658846,24623,1.7526204695661824,0.18133452463144215,0.033871631240394245,0.5731729204064127,23.87808146854567,25.51476262031434,0.0,A_JRDB指数乖離,IDM印○以上×人気薄,1
F241_sogo_mark_unpop,0.22184673561823595,31445,1.7446432472067785,0.04280489743997456,-0.007843802286837932,0.592455606524588,25.47145810144697,25.859437112418508,0.0,A_JRDB指数乖離,総合印○以上×人気薄,1
F243_upset_mark,0.21558183177886583,30557,1.558685853701315,0.11889256144254999,0.01608838266777753,0.567408053508454,22.59907713453546,24.32437739306869,0.0,A_JRDB指数乖離,激走印あり,1
F244_longshot_mark,0.5553540940582185,78717,1.2353871105148986,-0.3003036192944345,-0.20466088570910781,0.5731618383416303,25.9857464080186,26.62766619662843,2.0215007387038781e-256,A_JRDB指数乖離,万券印あり,1
F245_gekiso_unpop,0.11501883704194946,16303,1.6108945577898848,-0.11789241243942833,-0.051587169366350154,0.5393248597316926,25.4910139238177,26.76378580629332,2.8457402315872063e-180,B_オッズ乖離,激走指数上位3×人気薄,1
F246_manken_top3,0.22934627703856303,32508,1.4308050645252253,-0.3695398055863172,-0.13982638743826403,0.5552973664912976,25.694905869324476,25.414667158853206,4.737070867470615e-205,B_オッズ乖離,万券指数レース内上位3,1
F251_low_pop_high_sogo,0.024601035684553626,3487,2.0899970972877706,-0.6922856323487239,-0.1917930211774688,0.5150075806611484,22.47490679667336,29.039288786922857,5.6610070508901645e-112,A_JRDB指数乖離,人気指数低×総合指数高,1
F253_odds_down,0.13755979173427776,19498,1.373386133018706,-0.15883680377474613,-0.06462679919026086,0.5287462797978312,31.62067904400451,29.82357164837419,1.0922723188547347e-83,B_オッズ乖離,当日オッズ急落(買われている),1
F254_fuku_low_tan_high,0.00037391881023267625,53,1.0618226674790496,-1.679245283018868,-0.4300355054855329,0.5000129376979247,14.339622641509434,20.754716981132077,1.0,B_オッズ乖離,複勝オッズ低×単勝人気薄,1
F255_prev_fav_flop,0.010074642660608712,1428,1.6946035428464663,-1.3403361344537814,-0.35020223301750797,0.5039165042216882,40.80532212885154,30.37114845938375,1.1840212402137077e-19,B_オッズ乖離,前走1番人気凡走→今回人気落ち,1
F278_improvement_high,0.894928814324618,126849,1.0092305709759137,0.08760810097044518,0.046843274853990965,0.5046232673842047,24.89164281941521,26.09527863838107,0.00048368094592803333,I_ローテクラス,上昇度3以上,1
F281_tataki_2,0.30099053209352206,42663,1.0603334991222964,0.05182476619084453,-0.005556551614863809,0.5101635002489716,24.378032487166866,26.14044956988491,2.7508052918113404e-07,I_ローテクラス,叩き2走目,1
F284_prev_higher_grade,0.024847963200745015,3522,0.9587155260032303,-0.696763202725724,-0.19297388001910726,0.4994258709728476,25.173197047132312,23.248154457694493,0.4068395084954557,I_ローテクラス,前走が今回より上のグレード,1
F295_prize_top_unpop,0.17852859420637496,25305,1.3977413145647453,0.44667061845485084,0.11365771336212323,0.53974115124797,25.53013238490417,23.943094250148192,2.2430043549223574e-128,I_ローテクラス,獲得賞金上位×人気薄,1
